name,description,price,quantity
Laptop Dell XPS 15,High-performance laptop with Intel i7 processor,1299.99,15
Mouse Logitech MX Master 3,Wireless ergonomic mouse with precision tracking,99.99,50
Keyboard Mechanical RGB,Gaming keyboard with RGB backlight and blue switches,149.99,30
Monitor LG UltraWide 34,34-inch curved monitor with 3440x1440 resolution,599.99,8
Webcam Logitech C920,Full HD 1080p webcam with autofocus,79.99,25
Headset HyperX Cloud II,Gaming headset with 7.1 surround sound,99.99,40
USB-C Hub Anker 7-in-1,Multiport adapter with HDMI and card reader,49.99,60
SSD Samsung 1TB,NVMe M.2 solid state drive with 3500MB/s read speed,129.99,35
RAM Corsair 16GB DDR4,High-speed memory module 3200MHz,89.99,45
Desk Lamp LED,Adjustable brightness desk lamp with USB charging port,34.99,100
